"","Family","Loc","GID","GM_Trial","BLUE_Yield_corrected","BLUE_Moisture"
"3106","20009419-10020419656","VANDALA_1","GID100020043106",39,4922.78785896019,10.6590025041936
"3108","20009489-2984004","VANDALA_1","GID100020043108",38,4378.05433690678,10.644798601095
"3113","20009489-2984004","VANDALA_1","GID100020043133",40,3965.78694647404,10.2671619980232
"3114","20009479-3473863","VANDALA_1","GID100020043139",38,3859.46462099967,10.710097749936
"3115","20009419-2984004","VANDALA_1","GID100020043143",39,4630.77253471611,10.8249763850708
"3117","20001789-2984004","VANDALA_1","GID100020043146",41,4457.06160256835,10.7182969994533
"3121","20009419-2984004","VANDALA_1","GID100020043158",38,3571.80084209694,10.6861541519069
"3123","20001789-2984004","VANDALA_1","GID100020043163",41,4258.15578801803,10.6155655166889
"3124","20009419-2984004","VANDALA_1","GID100020043166",40,2834.72776950318,10.5894201168514
"3125","20001789-2984004","VANDALA_1","GID100020043175",40,4828.44693726393,10.3220120574826
"3126","20009419-2984004","VANDALA_1","GID100020043182",40,3558.33407132197,10.716294753457
"3127","20009419-2984004","VANDALA_1","GID100020043184",40,4539.22900445473,10.4106254234589
"3134","20009472-3472667","VANDALA_1","GID100020043237",39,4733.70309014475,10.3329793842418
"3136","20001789-2984004","VANDALA_1","GID100020043246",39,4647.52951525052,10.6807794299579
"3137","20001789-2984004","VANDALA_1","GID100020043258",41,3823.7926142712,10.4089991920252
"3139","20009490-2984004","VANDALA_1","GID100020043272",43,4868.1294714066,11.9281505303109
"3141","20009419-2984004","VANDALA_1","GID100020043274",39,3794.55701165917,11.0544784583755
"3142","20009479-3473863","VANDALA_1","GID100020043276",39,3440.90690496374,10.3686026846176
"3143","20009419-2984004","VANDALA_1","GID100020043277",37,4135.94095833471,10.8798912833454
"3144","20009472-3472667","VANDALA_1","GID100020043279",39,4573.43862936003,10.9314110818011
"3148","20001789-2984004","VANDALA_1","GID100020043289",41,4526.35998630499,10.7252571415574
"3149","20009472-3472667","VANDALA_1","GID100020043291",41,4380.85325056806,10.2882767224563
"3150","20009419-2984004","VANDALA_1","GID100020043472",36,4688.29164163105,10.3195174144672
"3151","20009489-2984004","VANDALA_1","GID100020043475",40,3887.55023228208,10.5271887582786
"3154","20009500-10020419656","VANDALA_1","GID100020043495",43,4394.47371148056,10.4629069714403
"3156","20009489-2984004","VANDALA_1","GID100020043499",36,4291.60453290752,10.6722413513243
"3160","20009472-10020419721","VANDALA_1","GID100020043521",35,3871.03939933417,10.1568921848243
"3163","20009500-10020419656","VANDALA_1","GID100020043526",41,4628.77254376889,10.4548860601648
"3167","20009472-3472667","VANDALA_1","GID100020043554",39,3891.42498585025,10.4029077578682
"3168","20009497-2984004","VANDALA_1","GID100020043556",41,4635.87877937734,10.4480793285806
"3169","20009497-2984004","VANDALA_1","GID100020043557",40,4555.24179284424,10.2596648121412
"3170","20009489-2984004","VANDALA_1","GID100020043561",40,4986.37324135794,10.2131267819158
