Genotype,blups,deregressed.blups,Adj.Grain.Yield
AYT-S-0019,-74.51231832,-118.1605667,5025.515112
AYT-S-0020,469.9996654,761.4717264,5905.147405
AYT-S-0021,147.8340621,223.1034333,5366.779112
AYT-S-0022,-193.3657053,-315.2004055,4828.475273
AYT-S-0023,-100.1717033,-162.0893502,4981.586328
AYT-S-0024,-34.18305291,-51.58761084,5092.088068
AYT-S-0025,75.61812571,121.6053088,5265.280987
AYT-S-0026,21.84163082,35.43042367,5179.106102
AYT-S-0027,-11.97670293,-19.40228924,5124.273389
AYT-S-0028,5.879105761,9.513069404,5153.188748
AYT-S-0029,-394.4671802,-617.8866892,4525.788989
AYT-S-0030,104.0031587,156.958957,5300.634636
AYT-S-0031,-23.5981182,-39.32477893,5104.3509
AYT-S-0032,146.7164002,231.7286404,5375.404319
AYT-S-0033,177.208464,277.6026656,5421.278344
AYT-S-0034,-12.01534638,-19.28889797,5124.386781
AYT-S-0035,-8.80E-13,5.46207630802016e-08,5143.675679
AYT-S-0036,31.89089607,51.8880549,5195.563733
AYT-S-0037,-280.4702585,-451.396774,4692.278905
AYT-S-0038,19.66424928,29.75644378,5173.432122
AYT-S-0039,588.9154963,889.7726563,6033.448335
AYT-S-0040,-4.86E-14,3.01977900744311e-09,5143.675679
AYT-S-0041,71.51303588,112.7346622,5256.410341
AYT-S-0042,-506.2039877,-847.9614335,4295.714245
AYT-S-0043,-937.9167093,-1468.976073,3674.699606
AYT-S-0044,-3.14E-14,1.94809794166359e-09,5143.675679
AYT-S-0045,19.39752725,29.27376513,5172.949444
AYT-S-0046,428.9206942,694.0469404,5837.722619
AYT-S-0047,-87.70767894,-137.4239922,5006.251686
AYT-S-0048,-612.0861286,-950.148766,4193.526913
AYT-S-0049,6.34137305600402e-14,-3.94E-09,5143.675679
AYT-S-0050,-9.49E-13,5.89015368563947e-08,5143.675679
AYT-S-0051,327.704453,494.5933946,5638.269073
AYT-S-0052,-282.5632533,-443.2687959,4700.406883
AYT-S-0053,9.47094856839243e-13,-5.88E-08,5143.675678
AYT-S-0054,-1154.544708,-1742.468536,3401.207143
AYT-S-0055,414.978797,626.4451629,5770.120841
AYT-S-0056,8.68793060118712e-13,-5.39E-08,5143.675678
AYT-S-0057,-1.57E-13,9.75612545440513e-09,5143.675679
AYT-S-0058,237.0753347,380.5395732,5524.215252
AYT-S-0059,498.9589617,783.4904989,5927.166177
AYT-S-0060,-2.56E-14,1.58776901936684e-09,5143.675679
AYT-S-0061,-8.45E-13,5.24803141854774e-08,5143.675679
