"","Line","Env","PH","FLW","Lg","Exs","CulmL","PnN","PedL","PnL","Flg.LL","Flg.LW","Flg.LA","SPn","FGP","GrL","GrW","LBR","X1000GW","YPP","YLD"
"47","B1153","2012DSRYT",109.3,86.4,1.1,1.2,"87.2",13,3.3,22,27.6,1.1,20.2,79.1,1029.4,9.3,2.2,4.4,23.4,24.4,4738
"48","B1005","2012DSRYT",94.4,81.2,1.1,1.2,"73.5",13,1.8,21.8,22.8,1,16.4,70,934.1,9.1,2.3,3.9,22.8,22.1,5607
"49","B1104","2012DSRYT",108.2,79.3,1.1,1.2,"83.9",12.5,3.1,24.3,32.4,1.1,24.8,88.3,1069.3,10,2.4,4,29.7,28,5977
"50","B1105","2012DSRYT",104.6,80.2,1.1,1.2,"82.5",12.2,2.2,22.4,30.4,1.3,24.8,84,975.5,9.5,2.3,4.1,23.8,24.3,5451
"51","B1055","2012DSRYT",104.2,82.6,1.1,1.2,"81",13.6,2.4,23.4,30.1,1,21.5,68.1,958.1,10,2.3,4.4,25.1,24.5,5100
"52","B1106","2012DSRYT",99.1,80.7,1.1,1.2,"75.3",12,4.5,24.3,30.3,1,21.9,76.8,897.1,10.4,2.3,4.6,23.8,21.5,5293
"54","B1107","2012DSRYT",108.4,85.4,1.1,1.2,"82.9",12.5,3.1,25.4,29.6,1.2,23.2,94.2,1113.7,10.4,2.2,4.9,25.1,28.3,4891
"55","B1056","2012DSRYT",105,77.4,1.1,1.2,"82.2",13.1,3.3,22.9,28.2,1.1,21.6,75.7,1006,9.9,2.2,4.5,22.8,24.2,5089
"56","B1108","2012DSRYT",99.9,83.5,1.1,1.2,"77.8",12.7,3,22.7,27.1,1.1,21,70.7,910.1,9.5,2.3,4.2,24.9,22.7,5440
"57","B1211","2012DSRYT",110.4,86.4,1.1,1.2,"86.1",13,2.2,24.1,28.7,1.2,23.2,74.1,981.4,9.8,2.2,4.6,23,23.4,3875
"58","A1264","2012DSRYT",91.5,76.9,1.1,1.3,"70.3",12.2,2.2,22.2,25.5,1.1,19.5,86.7,991.6,9.7,2.3,4.3,23.9,24.4,5319
"59","A1265","2012DSRYT",104.5,83.1,1.1,1.2,"81.8",12.2,2.4,22.9,29.9,1.1,21.9,73.5,896.5,9.7,2.3,4.2,24.3,22,4689
"63","A1316","2012DSRYT",107.7,81.2,1.1,1.2,"82.7",12,3.1,24.9,31,1.2,24.1,76.8,905.5,10.3,2.4,4.4,27.5,23.6,5601
"64","A1269","2012DSRYT",106.7,82.1,1.1,1.2,"83.8",12.6,2.9,23,29.9,1.1,22.5,80.2,999.8,9.5,2.3,4.1,22.1,23.6,5280
"65","A1273","2012DSRYT",108.5,80.2,1.1,1.2,"83.2",12.3,3.3,25.1,31.6,1.2,24.9,81.5,972,10.1,2.4,4.2,27.8,26.1,5137
"66","A1274","2012DSRYT",94.9,77.4,1.1,1.2,"71.7",12.8,2.7,24,28.1,1.1,21.6,85.1,1069.9,9.3,2.3,4.1,23.8,26.1,6745
"67","A1275","2012DSRYT",100.7,80.7,1.1,1.3,"79.4",13.1,3.1,21.8,26.7,1,19.3,74.5,993.1,9.9,2.4,4.2,26.4,25.6,5058
"68","A1276","2012DSRYT",109.2,79.7,2.2,1.2,"85",13.5,3.6,24.1,28.8,1.2,23.6,82.4,1120.4,9.8,2.4,4,27,29.8,5298
"69","A1279","2012DSRYT",95.4,85.9,1.1,1.2,"71.9",12.1,2.2,24.2,34.3,1.1,26,71.5,871.6,9.6,2.2,4.4,21.7,20.3,3820
"71","B1155","2012DSRYT",106.1,83.1,1.1,1.2,"81.8",12.9,2,24.4,31.3,1.4,27.5,83,1063.5,9.7,2.4,4,26.1,27.6,4369
"72","B1057","2012DSRYT",101.2,78.3,1.1,1.2,"77.7",12.3,3.7,23.9,30.8,1.2,24.6,83.2,1037.4,9.9,2.4,4.2,24.8,25.9,4990
"73","B1157","2012DSRYT",109.7,84.5,1.1,1.3,"80.9",12.3,2.4,25.2,28.4,1.3,23.8,91.8,951.6,10,2.4,4.1,27.1,24.7,4374
"74","B1011","2012DSRYT",118.6,92.1,1.1,1.2,"94.6",13.2,3.1,23.3,31.7,1.3,26.8,80.3,1064.2,9.6,2.4,4,25.7,27.1,4777
"75","A1267","2012DSRYT",104.9,77.8,1.1,1.2,"82",13.8,4.4,23.1,26.4,1,19.4,81.8,1149.1,9.6,2.3,4.2,25.6,29.3,5964
"76","A1272","2012DSRYT",93.4,76.4,1.1,1.2,"70.7",13.4,2.6,23.6,28.3,1,19.9,76.3,1054.2,9.7,2.2,4.3,25.4,26.5,5282
"77","A1270","2012DSRYT",107,82.6,1.1,1.2,"83.9",12.7,2.9,23.1,30.2,1.2,24.2,84.3,1058.5,9.4,2.3,4.1,22.8,24.7,5213
"78","A1277","2012DSRYT",107.2,81.6,1.1,1.2,"83.9",12.8,4.1,23.3,28.2,1.2,22.1,80.9,1030.2,9.9,2.5,4,25.9,26.8,5955
"79","A1321","2012DSRYT",108.3,90.2,1.1,1.2,"85.4",12.8,2.4,22.8,29.8,1.1,22.7,85.7,1093.5,9.5,2.3,4.2,24.1,26.9,5098
"80","A1317","2012DSRYT",111.1,87.4,1.1,1.2,"86.7",12.7,5.1,24.1,27.7,1.1,20.4,74.8,954.7,9.8,2.3,4.2,25.5,22.9,4925
"81","A1318","2012DSRYT",113.3,85,1.1,1.3,"89.3",12,4.1,23.6,26.5,1,19.2,78,913.6,9.5,2.2,4.3,25.1,22.7,5388
"82","A1319","2012DSRYT",118.4,85,1.1,1.2,"92.8",12.3,5,24.9,29.1,1.1,21.4,83.3,993.2,9.8,2.3,4.2,25.5,24.6,4826
"83","A1320","2012DSRYT",109.8,93.5,1.1,1.2,"87.2",12.6,3,22.5,28.5,1.2,22.4,66.6,856.5,9.5,2.3,4.2,23.7,21.5,4294
"84","A1268","2012DSRYT",101.7,79.7,1.1,1.3,"78.5",13.1,3.6,23.6,30,1.2,23.4,66.6,904.8,10,2.4,4.3,26.8,23.3,5524
"85","B1216","2012DSRYT",107.4,84,1.7,1.2,"83.4",12.4,2,24,29.6,1.2,23,71.7,896.1,10.3,2.3,4.5,25.5,22.2,3797
"86","B1007","2012DSRYT",103.7,76.4,1.1,1.2,"81.4",13.3,3.2,22.6,25.6,1,18.4,71.6,973.6,10,2.3,4.3,26.7,25,5143
"89","B1008","2012DSRYT",85.1,78.3,1.1,1.2,"64.5",13.3,2,22.1,28.9,1.1,22.1,85.9,1091.6,8.9,2.2,4,20.9,24.5,4572
"90","B1009","2012DSRYT",91.3,78.3,1.1,1.2,"70.6",13.2,2.7,21.8,28.9,1.1,22.1,74.6,1003.9,9.5,2.1,4.6,22.6,24.1,4953
"91","B1158","2012DSRYT",104.6,85.4,1.1,1.2,"82.7",12.7,2.5,22.1,27.3,1.2,21.8,81.4,1019.8,9.9,2.4,4.1,25,25,4341
"92","B1159","2012DSRYT",108.6,87.8,1.1,1.2,"85.5",14.1,3,23.1,28.6,1.1,21.5,70.7,1035.5,9.5,2.3,4.1,23.7,25.2,4378
"93","B1160","2012DSRYT",96.3,77.8,2.2,1.2,"73.4",12,2.5,23.6,27.4,1.2,22,83.6,952.1,9.7,2.4,4,25.1,24.4,5315
"94","B1110","2012DSRYT",113.1,84.5,2.7,1.2,"89.8",12.4,2.7,22.9,25.9,1.3,21.8,72.1,888,9.4,2.3,4.1,25.4,22.2,5342
"95","B1111","2012DSRYT",113.5,86.9,1.1,1.2,"89.5",11.8,2.2,23.6,29,1.4,26,89.5,989.6,9.5,2.4,4,25.4,25.3,4651
"96","B1161","2012DSRYT",102.3,84,1.1,1.2,"78.5",12.2,2.3,24.2,29.5,1.3,25.1,73.5,894.5,10.1,2.3,4.5,24.5,22.5,4473
"97","B1059","2012DSRYT",108.7,79.3,1.1,1.2,"85.1",12.3,6.4,23.5,27.9,1,20,79.1,953.4,10.2,2.4,4.1,28.5,25.7,6247
"98","B1062","2012DSRYT",99.7,82.6,1.1,1.2,"77",13.1,3.1,23.2,29,1,20.6,66.5,899.2,10,2,5.1,24.4,22.2,4956
"99","B1010","2012DSRYT",101.4,78.8,1.1,1.2,"77.7",13,3.3,24.1,28.6,1.1,21.2,69.8,934,9.5,2.3,4.2,23.3,22.6,5308
"100","B1217","2012DSRYT",116.8,93.1,1.1,1.2,"92.2",12.6,2.6,24,31,1.2,24.3,87.6,1069.9,9.4,2.3,4,24.9,27,5297
"101","B1218","2012DSRYT",101,86.4,1.1,1.5,"79.5",12.6,6,22,24.4,1.2,20.2,77.2,967,9.6,2.4,4.1,23.7,22.9,4733
"102","B1219","2012DSRYT",111,86.4,1.1,1.2,"89.1",12.6,3.3,21.8,26.7,1.2,21.9,83.4,1026.3,9.5,2.2,4.3,22,24.2,5157
"103","B1220","2012DSRYT",107.7,80.7,1.1,1.2,"83.2",13.1,4.7,24.4,27.6,1,19.5,73.7,976.9,9.8,2.3,4.4,23.8,23.8,4593
"104","B1058","2012DSRYT",105,80.7,1.1,1.2,"81.4",12,4.1,23.8,28.4,1.1,21.1,93.9,1017,9.8,2.5,4.1,26,26.5,5446
"105","B1060","2012DSRYT",113.3,86.4,1.1,1.2,"88.3",12.4,1.8,24.6,26.8,1.2,21,73.9,913.9,9.5,2.4,4.1,24.9,22.5,4049
"106","B1061","2012DSRYT",100.8,85.4,1.1,1.2,"79.4",11.7,2,21.8,25.8,1.3,21.5,74.2,857.9,9.7,2.5,3.8,25.8,21.8,3828
"107","B1012","2012DSRYT",100.2,77.8,1.1,1.2,"78",12.1,4.3,22.7,28.7,1.2,22.6,74.9,915.9,9.6,2.3,4.3,25.3,23.1,5291
"109","B1019","2012DSRYT",105.2,78.3,1.1,1.2,"81.8",13.9,2.8,23.6,29.6,1,21.1,73.4,1043.6,9.8,2.2,4.5,24.5,26.5,5688
"110","B1075","2012DSRYT",113.1,84.5,1.7,1.2,"87.4",12.5,3.4,25.3,30.6,1.1,22.9,71.8,905.5,9.9,2.2,4.6,23.5,21.8,4043
"115","A1323","2012DSRYT",96.9,91.6,1.1,1.3,"75.7",12.8,2.7,21.9,30.9,1.2,24.7,80.5,1026.3,9.7,2.3,4.3,24.9,25.9,6372
"116","A1322","2012DSRYT",98.6,85,1.1,1.3,"75.1",13.3,2.1,24.1,28.7,1.2,22.8,78.2,1042.8,9.7,2.4,4.1,24.5,25.6,5519
"117","A1282","2012DSRYT",118.7,80.2,4.3,1.2,"94.8",13.1,4.7,23.1,32.1,1,23,72.3,972.7,9.2,2.7,3.4,26.9,25.8,3698
"118","A1288","2012DSRYT",105.9,80.7,1.1,1.2,"83.2",13.2,2.5,22.8,30,1.3,24.8,75.6,1010.2,9.9,2.4,4.2,24.9,25.5,6409
"119","A1286","2012DSRYT",106.5,76.9,1.7,1.3,"83.5",13.9,3.6,23,27.8,1.1,20.3,71.4,1028.2,9.6,2.3,4.2,24,25.2,4971
"120","A1285","2012DSRYT",99.4,77.8,2.7,1.3,"96.6",12.7,3.2,23.6,29.8,1.3,24.6,77.7,1021.9,9.6,2.3,4.3,25.6,25.8,5253
"121","A1330","2012DSRYT",116,91.6,1.1,1.3,"91.6",12.1,2.2,23.9,30.5,1.5,28.3,86.5,996.8,9.7,2.2,4.5,22.8,23.7,5491
"122","A1326","2012DSRYT",107.8,82.1,2.7,1.2,"83.6",12,4,24.1,32.7,1.1,24.6,78.5,912.6,9.2,2.3,4,23,22.2,4952
"123","A1266","2012DSRYT",88,78.3,1.1,1.3,"67.5",12,3,21.9,29.5,1.3,24.3,81,938.7,9.7,2.2,4.4,25.4,22.9,5026
"124","A1324","2012DSRYT",132.3,90.7,4.8,1.3,"104",13.2,1.6,26.5,36.7,1.2,29,72.1,987.9,10,2.3,4.5,26.2,25.4,4229
"125","A1281","2012DSRYT",111.1,77.8,1.1,1.2,"88.2",12.8,2.2,22.7,24.6,1.2,20.1,75.7,972.7,9.6,2.3,4.2,24.2,23.9,4898
"126","A1292","2012DSRYT",100.2,83.5,1.1,1.2,"76.7",12.7,2.2,23.9,30.6,1.1,22.7,63.7,859.9,9.4,2.4,4,25.5,21.8,5589
"127","A1280","2012DSRYT",101.8,77.8,1.1,1.2,"78.8",11.6,2.9,23.3,30.1,1.2,23.3,86.3,932.1,9.7,2.3,4.2,24.1,23.5,4993
"128","A1289","2012DSRYT",114.2,80.2,4.3,1.2,"87.4",12.2,4.5,26.2,30.2,1.1,23,74.2,898,10.1,2.3,4.5,24.3,21.7,4780
"130","A1293","2012DSRYT",99.3,79.7,1.1,1.2,"77.7",13,3.9,22.2,29,1.1,21.5,77.7,1019.2,8.5,2.4,3.6,22.4,23.9,4854
"131","M1428","2012DSRYT",97.7,76.4,1.1,1.2,"76.5",12.5,3.2,21.9,25.5,0.9,17,77,957,9.2,2.3,4,23.7,23.4,5580
"132","A1291","2012DSRYT",97.9,82.1,3.2,1.2,"74.9",13.1,2,23.7,30.7,1.1,22.5,77.2,1024.7,9.9,2.2,4.5,23.7,24.9,5095
"133","A1290","2012DSRYT",104.2,79.3,1.1,1.2,"80.8",13.4,2.9,23.6,28.5,1.1,21.5,82,1111.8,9.7,2.3,4.2,24.1,27.2,4996
"134","A1284","2012DSRYT",104,82.6,1.1,1.2,"78.5",12.5,3.2,25.6,32.4,1.1,23.5,70.2,880.4,10.6,2.3,4.7,26.2,22.9,4617
"135","A1329","2012DSRYT",113,89.7,1.1,1.2,"88.2",12.4,3.2,24.3,32,1.2,25.8,78.9,967.7,10,2.3,4.4,25.5,24.7,5718
"136","A1328","2012DSRYT",107.3,87.8,1.1,1.2,"82.9",11.9,3.7,24.4,29.2,1.2,23,80.3,921.5,9.6,2.4,4,27.2,24.1,6101
"137","A1271","2012DSRYT",100.2,77.4,1.1,1.2,"77.2",12.9,2.9,23.5,29.3,1,20.8,77.8,1008.9,9.7,2.2,4.4,24.4,25.1,6088
"138","A1278","2012DSRYT",102.5,80.2,1.1,1.2,"82.4",13.8,6.4,20.6,27.4,1,19.5,72.3,1035.4,9.1,2.2,4.2,24,25.2,5714
"139","A1325","2012DSRYT",106.6,84.5,1.1,1.3,"83.5",12.3,4,23.1,29.3,1.2,23,76.1,927.1,9.7,2.3,4.2,24.7,23.2,4879
"141","A1283","2012DSRYT",106.6,81.6,1.1,1.2,"82.6",11.6,4.6,24.1,26.2,1,19.2,90.6,960.6,9.5,2.4,4,25.8,24.5,5495
"142","B1037","2012DSRYT",114.3,80.2,4.8,1.2,"90.1",12.2,3.8,23.8,28.1,1,20.2,77.8,938,9.6,2.4,3.9,25,23.7,4305
"143","B1035","2012DSRYT",112.4,80.7,1.1,1.2,"85.9",12.5,2.9,26.1,29.3,1.2,23.9,95.5,1133.7,9.8,2.4,4.1,25.5,29.4,5219
"144","B1034","2012DSRYT",109.3,77.8,1.1,1.2,"84.7",12.2,3.2,24.4,28.9,1.1,21.7,75.3,907.9,9.3,2.3,4.1,25.8,23,5339
"145","B1227","2012DSRYT",113.2,91.2,1.1,1.2,"88.6",12.7,2.9,24.2,30.7,1.1,23.4,71.3,918.4,9.7,2.3,4.3,25.6,23.2,4831
"146","B1085","2012DSRYT",101.9,85.9,1.1,1.3,"79.3",12.6,3.9,22.9,30.5,1.2,23.8,78.6,988,9.4,2.2,4.4,19.6,21.9,4446
"148","B1032","2012DSRYT",111.6,82.1,2.2,1.2,"85.4",12.3,2.6,25.9,30.4,1.2,24.2,78.1,946.7,10.3,2.2,4.6,25.2,23.9,4322
"149","B1028","2012DSRYT",129.8,78.3,5.3,1.2,"104",14,4.1,24.3,34,1.1,25.5,74.9,1081.9,9.2,2.4,3.9,24.4,26.6,5193
"150","B1165","2012DSRYT",110.6,85.9,3.2,1.2,"86.7",12.9,2,24,33,1.3,27.2,65.6,956.1,11.1,2.3,4.9,24.2,23.2,4465
"152","B1122","2012DSRYT",104.2,85.4,1.1,1.2,"82.5",12.3,2.1,22,29.9,1.2,24.3,84.2,998.9,9.7,2.4,4.1,23.2,24.2,4037
"153","B1163","2012DSRYT",122.4,91.2,1.1,1.2,"95.2",12.9,2.6,26.2,33.3,1.1,25,76,989.8,9.8,2.2,4.5,25.5,25.3,4668
"154","B1036","2012DSRYT",109.7,80.2,1.1,1.2,"84.8",12.1,2.5,24.7,30.6,1.1,22.7,80,942.7,9.6,2.4,3.9,26.5,24.7,5409
"156","B1080","2012DSRYT",107.2,83.5,1.1,1.2,"80.3",12.3,2.4,24.5,30.4,1.3,24.6,81.2,942.4,10,2.2,4.8,22.8,23,4296
"157","B1223","2012DSRYT",97.7,90.2,1.1,1.3,"77.1",13,1.7,21.3,26.3,1.2,20.8,69.3,931.8,9.4,2.4,4,24.5,22.7,3781
"159","M1370","2012DSRYT",111.6,80.2,1.1,1.2,"88.8",12.3,3.8,22.5,29.6,1.3,25,81,976.2,10.1,2.3,4.4,25.9,25.2,4962
"160","B1166","2012DSRYT",108.8,91.2,1.1,1.2,"84.1",12.1,2.4,24.6,30.6,1.1,22.7,78,926.7,9.6,2.3,4.1,22.8,23.5,6068
"161","B1082","2012DSRYT",115.2,94.5,1.1,1.2,"90.6",13.9,2.3,24.1,30.5,1.1,23.2,76.6,1095.9,9.6,2.3,4.3,24.6,27.5,5818
"162","B1235","2012DSRYT",110.4,88.8,1.1,1.2,"87.2",12.7,4,23,28.9,1.2,22.6,75.4,959.4,10.2,2.3,4.6,25.4,24.5,5406
"163","B1231","2012DSRYT",110.2,90.2,1.1,1.2,"86.5",12.3,4.9,23.5,30.4,1.2,23.4,69.8,867.2,9.8,2.4,4.2,25.3,21.5,4054
"164","B1230","2012DSRYT",111.9,93.5,1.1,1.2,"88",12.8,4.4,23.6,32.6,1.2,25.4,75.9,981.9,10.1,2.1,4.9,24.6,24.4,4175
"165","B1229","2012DSRYT",106.8,88.8,1.1,1.2,"81.7",13.5,4.6,25.1,31.7,1.1,23.3,81.9,1120.4,10.8,2.2,5,24.3,28.1,5051
"166","B1228","2012DSRYT",101.9,92.6,1.1,1.2,"81.8",12.6,4.6,20.5,26.2,1.2,20.8,72.5,921.9,9.4,2.3,4.2,23.2,21.7,4045
"169","B1225","2012DSRYT",106,93.1,1.1,1.2,"80.6",12.2,2.1,25.5,30.3,1.4,26.6,77.5,927,10.7,2.4,4.5,26.2,24.3,4885
"170","B1164","2012DSRYT",114.1,94,1.1,1.2,"90.4",10.9,3.7,23.2,32.9,1.2,26.6,67.6,734.1,10,2.2,4.7,24.5,17.2,3277
"171","B1083","2012DSRYT",99.3,78.3,1.1,1.2,"78.5",12.6,2.9,21.4,26.6,1.2,21.7,80,996.7,9.3,2.3,4.1,24.3,24,4821
"172","B1018","2012DSRYT",94.6,76.9,1.1,1.2,"73.2",12,3,22.3,28,0.9,19.1,69.9,835.5,10.3,2.2,4.8,24.5,19.8,4654
"173","B1017","2012DSRYT",92.3,78.8,1.1,1.3,"70.8",15,4.4,22.5,27,1.1,20.3,66.8,1060.2,10,2.4,4.2,25.6,26.4,5351
"174","B1065","2012DSRYT",87.9,79.7,1.1,1.3,"66.5",13.3,2.4,22.7,27.1,1,19.5,71.6,959.5,10.5,2.3,4.8,20.6,21.6,3384
"175","B1016","2012DSRYT",109.2,87.8,1.1,1.2,"85.5",13.4,2.7,23.6,27.8,1,20.2,71.5,984.5,10,2.3,4.4,25.3,24.8,4421
"176","B1039","2012DSRYT",99,79.7,1.1,1.2,"74.8",12.6,2.8,24.7,31,1.1,22.9,78.2,958.6,9.8,2.3,4.3,23.4,23,4725
"177","B1038","2012DSRYT",100.8,77.4,1.1,1.3,"75.9",13.3,2,25.2,29.5,1.1,22,80.2,1079.4,10.6,2.3,4.6,25.9,28,5686
"178","M1371","2012DSRYT",105.3,79.3,1.1,1.2,"83.4",12.5,2.2,22.1,26,1.1,19.5,76,946,10.1,2.2,4.7,24.5,22.6,4084
"180","B1033","2012DSRYT",110.1,79.7,1.7,1.2,"87.3",12.6,5.1,22.7,30.4,1.1,22.7,76,955.8,9.5,2.3,4.2,26.6,24.9,5475
"182","B1234","2012DSRYT",114.6,89.3,1.1,1.2,"92.1",13.2,5,22.1,27.7,1,19.8,75.6,1010.6,9.7,2.2,4.4,23.5,24.1,4639
"184","B1233","2012DSRYT",97.9,89.3,1.1,1.2,"74.6",13,2.2,23.8,30,1.1,22.9,83.8,1083.7,9.5,2.3,4.1,25.3,28.6,4174
"185","B1232","2012DSRYT",108,91.2,1.1,1.2,"83.2",13.6,2,24.7,30.2,1.2,23.3,84.4,1161.8,9.8,2.4,4,24,28.6,4799
"186","B1086","2012DSRYT",113,88.3,1.1,1.2,"90.3",13.1,4,22.4,27.4,1,19.5,76.6,1017,9.7,2.4,4.1,24,24.9,5036
"187","M1383","2012DSRYT",100.4,80.7,1.1,1.2,"78.5",13.5,5.2,22.4,27.8,1,19.4,78.6,1062.5,9,2.3,3.9,23.2,25.6,5157
"188","B1014","2012DSRYT",99.7,80.2,1.1,1.2,"76.5",12.8,2.8,23.7,29,1,21,78.5,1012.1,9.5,2.4,4.1,23.7,24.7,5049
"190","B1064","2012DSRYT",90.6,83.1,1.1,1.2,"67.5",12,1.8,24.2,28.7,1,20.5,80.5,932.9,9.8,2.1,4.7,20.6,23.9,4631
"191","B1066","2012DSRYT",103.7,82.6,1.1,1.2,"80.7",12.5,2.3,23.2,28.1,1.2,21.7,81.1,1000.3,9,2.3,4,22.7,23.5,4805
"192","B1067","2012DSRYT",105.5,80.7,1.1,1.2,"81.8",12.3,2.8,23.8,28.3,1,20.2,74.2,913.9,9.2,2.3,4.1,22,21.4,5445
"193","B1068","2012DSRYT",102.9,82.1,1.1,1.2,"80.4",12.7,4.2,22.9,29.5,1,21,77.8,986.8,9.7,2.2,4.4,23,23.3,5055
"194","B1069","2012DSRYT",98,79.3,1.1,1.2,"76.2",12.5,2.1,23.4,29.5,1.2,23,80.6,986,9.4,2.3,4.1,22.6,23.3,4376
"195","B1070","2012DSRYT",99.1,83.1,1.1,1.2,"75.1",12.2,1.9,24.5,29.1,1.1,21.7,87,1013,9.4,2.2,4.4,21.7,24,6361
"196","B1071","2012DSRYT",87.9,84,1.1,1.2,"67.5",14.3,2.2,21.7,28.2,1.2,21.9,70.6,1051.7,9.7,2.1,4.7,20.9,23.5,4811
"197","B1072","2012DSRYT",83.9,82.1,1.1,1.2,"64.9",13.4,3.3,20.6,30.6,1,21,67.3,933,9.6,2.2,4.3,23.1,22.4,4594
"198","B1073","2012DSRYT",100.8,85,1.1,1.2,"78",13.6,3.8,23.2,30.3,1,21.8,76.9,1068.1,9.6,2.3,4.3,20.7,24.4,5007
"199","B1074","2012DSRYT",105.5,81.6,1.1,1.2,"81.2",13.2,3.1,24.4,32.2,1,23.1,84.9,1123.2,9.5,2.3,4.2,23,27,5238
"200","B1076","2012DSRYT",97.7,82.1,1.1,1.2,"74.8",12.6,2.4,23.6,28.7,1,20.5,72.5,926,9.8,2.1,4.7,22.7,21.7,4911
"201","B1113","2012DSRYT",91.7,83.1,1.1,1.2,"69.2",13.2,3.3,23.2,30.3,1.2,23.2,74.5,1042.4,9.4,2.1,4.7,21.7,24,4639
"202","B1114","2012DSRYT",100.8,84.5,1.1,1.2,"78",12.7,3.1,23.2,28.1,1,19.8,75.4,962.6,9.6,2.1,4.7,22.5,21.9,3814
"204","B1116","2012DSRYT",96.5,85.9,1.1,1.2,"75.9",12.9,3.2,23,27.5,1.1,20.7,76.7,985.9,10,2.1,4.9,22.8,23.3,5067
"205","B1117","2012DSRYT",97.3,81.2,1.1,1.2,"76.1",13.7,2.4,21.9,26.9,1,19.5,71.1,1006.9,9.9,2.2,4.5,22.6,23.6,4614
"206","B1118","2012DSRYT",99.3,77.4,1.1,1.2,"74.8",13.6,2.6,25,31.2,1.1,23.1,82.5,1135.2,9.7,2.2,4.4,22.9,27.7,6235
"207","B1119","2012DSRYT",111,91.6,1.1,1.2,"87.4",12.7,4.1,23.3,31,1.2,24.6,51.5,709.1,10.1,2.2,4.6,24.5,18,2389
"208","B1120","2012DSRYT",97.1,82.6,1.1,1.2,"76.1",13.2,2.3,21.7,27.6,1.2,22,78.5,1034.8,9.5,2.1,4.7,22.1,24.2,5099
"209","B1121","2012DSRYT",104.2,83.1,1.1,1.2,"81.6",13.1,3.9,22.8,27.1,1,19.6,71.8,963.6,10,2.1,4.9,21.9,22.2,2826
"210","B1222","2012DSRYT",107.5,81.6,1.1,1.2,"85.3",13.1,4.1,22.2,29.1,1.1,22.2,76.7,1019.2,9.9,2.3,4.3,24.2,25.1,5237
"212","B1224","2012DSRYT",111.5,88.8,1.1,1.2,"88.4",14.2,3.8,22.8,29,1.1,22,81.8,1200,9.6,2.3,4.2,24.7,29.8,5999
"213","B1078","2012DSRYT",98.2,81.6,1.1,1.2,"74.6",11.9,2.1,24.2,30.5,1.1,22.8,72.2,851.3,9.4,2.2,4.3,22.9,19.9,4002
"214","B1124","2012DSRYT",99.5,85.4,1.1,1.2,"78",12.6,2.8,22.1,27.4,1.1,20.3,63.8,830,9.7,2.3,4.3,24.5,19.9,3821
"215","B1125","2012DSRYT",100.4,79.7,1.1,1.2,"80",12.2,3.2,21,28.8,1.3,24.3,75.9,905,9.9,2.3,4.5,24.1,21.8,4423
"216","B1126","2012DSRYT",113.6,95,1.1,1.2,"91.5",13,2.1,21.8,25,1.2,20.2,77.5,1017.1,9.5,2.4,3.9,25.1,25.4,5197
"218","B1022","2012DSRYT",103.5,79.3,1.1,1.2,"81",12.6,3.5,22.7,29.3,1.2,23.3,78.6,980.5,9.7,2.2,4.4,24.8,24.8,5252
"220","B1024","2012DSRYT",93.5,80.2,1.1,1.2,"73.5",15.3,3.4,21,27.1,1.2,21.3,84.5,1216.5,9.6,2.3,4.1,25.7,31.3,6537
"221","B1025","2012DSRYT",99.2,77.8,1.1,1.2,"77.3",13.7,2.4,22.5,28.5,1.2,22.7,74.4,1038.7,9.8,2.4,4.1,26.3,26.9,5379
"222","B1026","2012DSRYT",97.3,78.3,1.1,1.2,"76.6",13.3,3.1,21.5,27.3,1.2,21.3,80.7,1083.3,9.4,2.4,4,25.6,27.3,6280
"223","B1027","2012DSRYT",97.5,78.3,1.1,1.5,"77.4",13.4,3.6,20.8,27.5,1.2,21.6,71.6,988.4,9.7,2.3,4.2,24.6,24.7,6392
"224","B1029","2012DSRYT",118.6,87.8,1.1,1.2,"95.3",12.1,2.3,22.6,32.2,1.2,26.2,82.3,967.1,9.5,2.3,4,23.7,23.8,6119
"225","B1031","2012DSRYT",108,81.2,1.1,1.3,"85",13.7,6,23,32.8,1.1,24.2,71.2,1013.6,9.9,2.4,4.2,25.9,26.3,5120
"227","B1084","2012DSRYT",105.2,84,1.1,1.2,"82.4",13.6,3.7,23,27.1,1.1,20.5,69.2,967.3,9.7,2.4,4,27.1,25.2,4365
"228","B1112","2012DSRYT",102.4,87.4,1.1,1.2,"80.6",13.2,2.3,22.2,30.1,1,21.6,80.6,1075.6,9.7,2.2,4.6,20.5,23.5,5118
"231","A1331","2012DSRYT",103.5,84.5,1.1,1.3,"79.6",12,2.6,24.2,25.4,1,18,72.7,867.7,9.8,2.3,4.3,26,21.9,5594
"232","A1332","2012DSRYT",100.9,88.3,1.1,1.2,"77.3",12.1,2,24.1,29.9,1.2,23.2,78.4,930.7,9.4,2.3,4.1,24.3,22.8,4238
"233","A1333","2012DSRYT",105.2,85.4,1.1,1.2,"80.9",12.9,1.8,24.4,28.2,1.1,21,73.3,953.4,10.1,2.3,4.5,23.5,23.2,4904
"235","A1294","2012DSRYT",105.2,77.8,1.1,1.3,"81.8",13.6,2.3,23.6,28.4,1.3,23.3,79.3,1103.1,9.8,2.3,4.3,25.3,28.2,5357
"236","A1295","2012DSRYT",98.1,78.3,1.1,1.2,"76.5",12.1,2.8,22.3,27.7,1.1,20.7,69.5,848.6,9.8,2.3,4.2,23.7,21,5216
