"","Line","Env","PH","FLW","Lg","Exs","CulmL","PnN","PedL","PnL","Flg.LL","Flg.LW","Flg.LA","SPn","FGP","GrL","GrW","LBR","X1000GW","YPP","YLD"
"610","M1417","2012WSRYT",124.4,95.8,1.2,1.3,"101.3",11.7,4,23.9,30.2,1.1,21.5,118.8,1003.8,9.4,2.3,4.2,23,26.3,3832.8
"612","M1419","2012WSRYT",115.9,87.7,1.3,1.7,"91.5",14.2,2.7,23.5,29.1,1.1,20.9,95.3,1139,9.7,2.3,4.3,25,31.2,4084.4
"613","M1420","2012WSRYT",117.8,93.4,1.2,1.9,"95",13.1,2,22.8,30.3,1.2,23.5,99.5,1016.6,9.1,2.3,4,25.8,27.4,3915.4
"615","M1425","2012WSRYT",121.4,86.4,1.2,1.9,"97.9",10.8,6.4,23.9,30.7,1.6,31.6,113.3,984.3,8.2,3.2,2.7,27.2,27.7,3283.8
"617","M1429","2012WSRYT",119.9,97.5,1.3,1.4,"95.7",13.5,5.1,24.2,32.6,1.1,23.9,104.7,1159.5,9.5,2.5,3.8,25.3,32.1,4975.8
"618","M1430","2012WSRYT",115.4,96.7,1.2,1.4,"91.2",12.3,5.8,23.7,36.5,1.1,25.9,97.4,944.2,9.9,2.4,4.1,22.5,25.3,4530.1
"619","M1431","2012WSRYT",120.2,93.9,1.3,1.4,"96.3",11.7,6.6,24.1,31.7,1.2,25,123.1,1013.1,9.6,2.6,3.8,23.9,27.5,4313.8
"620","M1432","2012WSRYT",110.4,92.2,1.3,1.4,"86",13.7,3.1,22.3,28.4,1.1,20.4,94.2,1093.8,9.9,2.3,4.4,24.2,29.1,5269.4
"621","M1433","2012WSRYT",116.9,94.8,1.3,1.4,"92.1",12.1,5.3,24.1,34.3,1.1,24.4,105,978.9,9.5,2.4,4.1,25.1,26.5,4559.1
"628","M1380","2012WSRYT",127.2,93.4,1.9,1.6,"103.3",12.4,6.2,24.9,32.3,1.1,24.1,105.2,1016.8,9.2,2.6,3.5,26.5,29.6,4963.8
"636","M1438","2012WSRYT",110.6,86.4,1.2,1.9,"84.7",12.2,4.8,24.6,32.5,1.2,26.5,105.5,1016.2,9.6,2.5,3.9,25.3,28,4973.8
"641","B1162","2012WSRYT",125.4,94.9,1.2,1.3,"100",12.5,3.7,26,33,1.1,23.4,104.3,1042.6,10.5,2.5,4.2,25.7,28.9,4906.8
"642","B1030","2012WSRYT",143.5,86.8,6.6,1.9,"122.4",11.7,4.6,24.5,36,1.2,28.3,142.2,1169.4,9.3,2.4,3.9,24.8,32.4,4858.4
