"","A1257","A1258","A1259","A1260","A1261","A1262","A1263","A1264","A1265","A1267","A1268","A1269","A1270","A1272","A1273","A1274","A1275","A1276","A1277","A1279","A1302","A1304","A1307","A1309","A1310","A1311","A1312","A1313","A1314","A1316","A1317","A1318","A1319","A1320","A1321","B1005","B1007","B1008","B1009","B1010","B1011","B1012","B1019","B1053","B1055","B1057","B1058","B1060","B1061","B1062","B1075","B1102","B1103","B1104","B1105","B1106","B1107","B1110","B1111","B1151","B1152","B1153","B1155","B1157","B1158","B1159","B1160","B1161","B1201","B1202","B1203","B1205","B1206","B1207","B1208","B1209","B1210","B1211","B1216","B1217","B1218","B1219","B1220","M1345","M1347","M1351","M1353","M1354","M1356","M1357","M1358","M1359","M1360","M1361","M1362","M1363","M1364","M1365","M1366","M1367","M1368","M1463","M1464","M1465","M1467","M1469","M1471"
"B1104",1.71151,1.68954,1.66212,1.74986,1.68219,1.57622,1.72922,1.71786,1.74352,1.75807,1.69283,1.70231,1.6499,1.7018,1.74039,1.6777,1.6593,1.70088,1.68237,1.66686,1.6156,1.66624,1.68945,1.68636,1.68615,1.6218,1.68781,1.7036,1.69898,1.62996,1.71717,1.72147,1.72403,1.70648,1.64913,1.67722,1.66933,1.61802,1.59884,1.76844,1.82162,1.6504,1.72557,1.61584,1.74503,1.69964,1.71267,1.78213,1.74534,1.6859,1.70685,1.7054,1.65912,2,1.8303,1.70132,1.67711,1.62673,1.63179,1.67936,1.77029,1.66133,1.71838,1.72027,1.65344,1.65183,1.72635,1.65842,1.6612,1.69443,1.62171,1.63568,1.69203,1.75114,1.69724,1.75538,1.63569,1.68795,1.69344,1.62068,1.65942,1.58477,1.67053,1.54187,1.65635,1.61599,1.61485,1.61825,1.61793,1.61634,1.58801,1.58101,1.61537,1.61787,1.62048,1.62388,1.67931,1.59818,1.67168,1.68207,1.67962,1.64783,1.64107,1.5776,1.71149,1.73941,1.68403
"B1105",1.68464,1.6752,1.61851,1.72115,1.62428,1.57562,1.71623,1.68419,1.70766,1.73515,1.66564,1.6873,1.63744,1.69112,1.74601,1.68253,1.66448,1.7373,1.66785,1.66791,1.64813,1.66344,1.66604,1.66328,1.6627,1.63922,1.66124,1.65959,1.70306,1.61454,1.67482,1.71515,1.70291,1.69046,1.62338,1.63803,1.66654,1.64957,1.61831,1.75273,1.71446,1.6308,1.72855,1.6332,1.74015,1.71078,1.73054,1.72969,1.74867,1.6609,1.67952,1.70744,1.68235,1.8303,2,1.68448,1.72495,1.66749,1.66404,1.63238,1.77474,1.66859,1.75115,1.69858,1.65318,1.68058,1.74279,1.68725,1.67874,1.75126,1.65775,1.65121,1.68538,1.75253,1.67448,1.73151,1.65435,1.67133,1.68203,1.61629,1.63007,1.57741,1.64322,1.54046,1.63879,1.60675,1.60616,1.60996,1.61004,1.60799,1.58762,1.58634,1.61404,1.60916,1.62782,1.61487,1.63612,1.59885,1.66121,1.66596,1.67779,1.64687,1.62292,1.56601,1.68201,1.73477,1.69307
"B1106",1.74732,1.68585,1.67146,1.75608,1.66197,1.53494,1.68835,1.70824,1.76375,1.74783,1.73239,1.73815,1.67935,1.74042,1.73979,1.70753,1.71918,1.72143,1.70446,1.62745,1.66371,1.65108,1.67492,1.67218,1.67488,1.63267,1.68856,1.73867,1.69834,1.69416,1.71681,1.73608,1.69401,1.72471,1.63577,1.68984,1.63418,1.69313,1.69727,1.84,1.72376,1.65636,1.78257,1.64745,1.80341,1.63232,1.66184,1.76161,1.68166,1.76434,1.80379,1.77446,1.66831,1.70132,1.68448,2,1.69066,1.62287,1.62156,1.65651,1.77114,1.70138,1.62926,1.68663,1.66391,1.62738,1.61628,1.66095,1.63347,1.62227,1.58795,1.67518,1.65147,1.70499,1.65888,1.76425,1.61182,1.70464,1.70417,1.63785,1.63649,1.58103,1.69534,1.56305,1.65331,1.57634,1.57497,1.57892,1.57875,1.57623,1.61598,1.56889,1.57601,1.57766,1.63218,1.61518,1.7112,1.61982,1.65122,1.70579,1.69362,1.62443,1.66188,1.68994,1.71658,1.69939,1.68436
"B1107",1.67644,1.6416,1.58282,1.63123,1.59905,1.566,1.67224,1.61759,1.64878,1.70402,1.63325,1.65764,1.61055,1.66455,1.68674,1.65171,1.63638,1.64878,1.65431,1.61604,1.65091,1.65152,1.65463,1.64988,1.65145,1.60832,1.66076,1.65593,1.71388,1.61817,1.64048,1.65195,1.67384,1.62681,1.60961,1.62099,1.6618,1.63103,1.6555,1.68971,1.67742,1.60026,1.67432,1.61565,1.65154,1.67345,1.7108,1.72312,1.70598,1.71903,1.65019,1.63751,1.73198,1.67711,1.72495,1.69066,2,1.73104,1.69639,1.65551,1.69006,1.6702,1.74212,1.66399,1.66171,1.69465,1.70377,1.72359,1.64079,1.7369,1.64659,1.61988,1.6546,1.65885,1.66729,1.7099,1.66199,1.66508,1.68348,1.64317,1.60339,1.58954,1.66036,1.71862,1.67893,1.69536,1.69455,1.69611,1.69608,1.69652,1.60686,1.65682,1.6699,1.69843,1.65246,1.67126,1.67765,1.6157,1.63788,1.58602,1.69345,1.66732,1.64716,1.67534,1.70891,1.69203,1.71111
"B1110",1.65985,1.60069,1.6714,1.58788,1.58071,1.56755,1.67751,1.68426,1.62516,1.6876,1.66401,1.66186,1.65043,1.69676,1.6843,1.68637,1.64462,1.656,1.65992,1.58881,1.56848,1.6105,1.59072,1.59499,1.58758,1.56659,1.61648,1.60533,1.68713,1.59959,1.61499,1.61547,1.6082,1.64476,1.66419,1.68824,1.71548,1.64257,1.64624,1.64793,1.65047,1.67782,1.61477,1.63253,1.62382,1.64685,1.74392,1.65362,1.67873,1.65688,1.5705,1.65226,1.67041,1.62673,1.66749,1.62287,1.73104,2,1.92352,1.63852,1.63716,1.5865,1.69298,1.67778,1.64815,1.72476,1.68009,1.74648,1.59612,1.71738,1.66023,1.61753,1.61369,1.65608,1.64744,1.70169,1.73378,1.60399,1.63791,1.56654,1.56648,1.56239,1.57274,1.53108,1.62108,1.5824,1.58091,1.584,1.58406,1.58197,1.61079,1.61079,1.57247,1.58362,1.6022,1.62641,1.60853,1.65118,1.58925,1.60835,1.62842,1.61603,1.65008,1.56138,1.62932,1.67162,1.6623
"B1111",1.67863,1.60662,1.69347,1.59948,1.56976,1.59682,1.68536,1.68594,1.65157,1.69014,1.67392,1.65315,1.64178,1.70123,1.71556,1.71262,1.66074,1.66861,1.66923,1.60643,1.58449,1.61633,1.57986,1.58434,1.57669,1.58365,1.60215,1.60047,1.65714,1.61653,1.63174,1.63499,1.63118,1.63871,1.67657,1.7027,1.71104,1.66452,1.65628,1.6478,1.66257,1.70338,1.65011,1.66,1.62717,1.65314,1.7198,1.63875,1.66902,1.64699,1.58971,1.67289,1.66748,1.63179,1.66404,1.62156,1.69639,1.92352,2,1.63054,1.64558,1.5849,1.69123,1.6924,1.656,1.70289,1.69001,1.72094,1.6243,1.68487,1.64905,1.63276,1.64217,1.69155,1.65738,1.71211,1.70498,1.6163,1.63593,1.59496,1.56638,1.5479,1.56718,1.50596,1.62227,1.58769,1.58693,1.59023,1.59045,1.58817,1.62033,1.62257,1.58573,1.58945,1.60889,1.60984,1.63052,1.64071,1.61496,1.61099,1.64114,1.64772,1.62515,1.56941,1.61893,1.67187,1.65686
"B1151",1.69716,1.68078,1.74475,1.60434,1.60787,1.59962,1.66298,1.68976,1.63134,1.6744,1.65063,1.65965,1.61587,1.71389,1.73946,1.71376,1.61902,1.61442,1.61614,1.61924,1.56653,1.66357,1.62913,1.6308,1.62425,1.58819,1.63273,1.65277,1.59632,1.64655,1.65774,1.63921,1.62704,1.58166,1.62435,1.72039,1.61178,1.62946,1.60434,1.67194,1.62497,1.68055,1.62312,1.71515,1.64379,1.6325,1.63984,1.67508,1.65037,1.6589,1.6003,1.64075,1.64142,1.67936,1.63238,1.65651,1.65551,1.63852,1.63054,2,1.66336,1.59944,1.65132,1.65978,1.5957,1.59423,1.61659,1.68345,1.64333,1.58923,1.58739,1.71015,1.71611,1.68129,1.72311,1.78767,1.62395,1.65039,1.72576,1.75474,1.5861,1.57819,1.63798,1.56474,1.6447,1.61353,1.6122,1.61632,1.61554,1.61323,1.62232,1.59393,1.59803,1.6151,1.59696,1.6593,1.67805,1.60231,1.59335,1.57166,1.63728,1.5665,1.59986,1.55775,1.6726,1.63373,1.66734
"B1152",1.71687,1.73289,1.6633,1.84109,1.67157,1.59602,1.71994,1.7276,1.79078,1.76516,1.75539,1.76932,1.72119,1.72044,1.79359,1.69757,1.75417,1.78765,1.7611,1.70495,1.67225,1.69954,1.69327,1.689,1.69073,1.66212,1.68951,1.73099,1.66884,1.64888,1.75868,1.84078,1.81758,1.81675,1.70052,1.67215,1.65073,1.65124,1.65652,1.87079,1.7914,1.66785,1.79864,1.63023,1.8715,1.67559,1.66445,1.79813,1.72831,1.69308,1.79773,1.79059,1.69482,1.77029,1.77474,1.77114,1.69006,1.63716,1.64558,1.66336,2,1.7421,1.67827,1.74747,1.64256,1.62223,1.6697,1.6748,1.66616,1.66264,1.63614,1.70312,1.6974,1.76396,1.69017,1.75742,1.60473,1.72195,1.72865,1.65101,1.63511,1.61326,1.63514,1.55482,1.66027,1.62047,1.61955,1.62338,1.623,1.62095,1.65647,1.63428,1.61301,1.62207,1.63317,1.64019,1.65006,1.62949,1.70905,1.77833,1.72352,1.63426,1.65609,1.60117,1.73432,1.75955,1.68596
"B1153",1.69124,1.64013,1.59616,1.73166,1.68141,1.58398,1.64381,1.62023,1.7222,1.70019,1.69773,1.79313,1.73721,1.65772,1.68665,1.63153,1.66845,1.67727,1.68356,1.61409,1.64769,1.65153,1.73032,1.73282,1.72932,1.65596,1.74206,1.74689,1.67202,1.58725,1.66937,1.73781,1.72734,1.69906,1.61758,1.60663,1.61671,1.62692,1.65173,1.82925,1.71351,1.58221,1.72,1.55169,1.78727,1.67729,1.6522,1.73432,1.67027,1.68346,1.72129,1.69473,1.69211,1.66133,1.66859,1.70138,1.6702,1.5865,1.5849,1.59944,1.7421,2,1.65321,1.65887,1.61359,1.66907,1.67447,1.65653,1.65035,1.61194,1.59656,1.59512,1.63337,1.66785,1.65938,1.68834,1.58441,1.65517,1.66849,1.58322,1.68681,1.6933,1.69826,1.54615,1.6622,1.65104,1.65015,1.65412,1.65458,1.65273,1.55708,1.63915,1.63757,1.65376,1.69024,1.64922,1.62503,1.56448,1.66471,1.61138,1.69062,1.56497,1.68369,1.59797,1.69838,1.71004,1.65627
"B1155",1.66766,1.59681,1.59939,1.62676,1.56888,1.60892,1.72985,1.63412,1.6762,1.70758,1.62533,1.6434,1.59932,1.65424,1.66636,1.62826,1.62263,1.64159,1.63699,1.61733,1.58164,1.61063,1.63295,1.63622,1.63163,1.58084,1.61339,1.62971,1.67952,1.60728,1.65162,1.66757,1.68151,1.61399,1.64218,1.63055,1.67517,1.67099,1.64825,1.67584,1.64651,1.6012,1.62656,1.61725,1.63448,1.68477,1.69502,1.74858,1.74882,1.69449,1.5947,1.6458,1.68538,1.71838,1.75115,1.62926,1.74212,1.69298,1.69123,1.65132,1.67827,1.65321,2,1.66478,1.64394,1.70897,1.74971,1.72846,1.64376,1.7378,1.63099,1.59576,1.64322,1.64874,1.73147,1.74024,1.71713,1.61763,1.70534,1.60564,1.58758,1.59656,1.59721,1.55597,1.66423,1.6378,1.63624,1.63905,1.63969,1.63801,1.58226,1.62864,1.63002,1.63967,1.63961,1.64806,1.62954,1.62214,1.61925,1.57817,1.69699,1.59715,1.61159,1.59593,1.64082,1.69362,1.68278
"B1157",1.71711,1.76333,1.709,1.69917,1.62708,1.5509,1.65682,1.73107,1.73047,1.70112,1.70913,1.74233,1.70046,1.76632,1.78354,1.75024,1.72733,1.75608,1.71126,1.6529,1.65881,1.66531,1.64651,1.64461,1.64266,1.65187,1.66184,1.65718,1.66606,1.64279,1.66998,1.69773,1.68635,1.73304,1.66425,1.7017,1.66177,1.62084,1.63376,1.7661,1.73993,1.69943,1.71012,1.64947,1.74842,1.62288,1.66528,1.75121,1.71157,1.66306,1.69766,1.68144,1.69019,1.72027,1.69858,1.68663,1.66399,1.67778,1.6924,1.65978,1.74747,1.65887,1.66478,2,1.61326,1.65361,1.67943,1.68,1.68919,1.6373,1.63476,1.67524,1.70076,1.77438,1.69476,1.7521,1.62887,1.73324,1.75996,1.6461,1.60668,1.56737,1.6166,1.5229,1.60411,1.59438,1.59292,1.59585,1.59511,1.59417,1.63036,1.58555,1.59815,1.59588,1.62375,1.62632,1.68823,1.62547,1.65943,1.6687,1.65136,1.63599,1.63949,1.57319,1.68396,1.68852,1.65944
