Hybrid_name,Year,GY_Optimal,PH_Optimal,AD_Optimal,GY_Drought,PH_Drought,AD_Drought
851966,2017,6.5323,226,64.138,2.5169,189.81,62.5313
851967,2017,5.65,227.33,64.3186,2.7017,183.94,63.9861
851968,2017,6.481,239.07,64.7806,3.2828,187.73,62.31
851969,2017,5.4253,228.49,64.6566,1.8133,190.89,61.8331
851971,2017,7.0216,234.31,63.4747,2.4212,212.8,64.566
851973,2017,5.3597,228.64,63.2641,3.1451,191.9,63.1324
851975,2017,6.3282,212.07,62.3252,1.8196,190.18,60.5052
851978,2017,6.1978,238.22,65.4742,2.1658,186.11,62.9031
851980,2017,6.5515,228.38,63.9316,2.5068,172.68,61.7753
851981,2017,5.3288,230.07,65.267,2.3431,191.92,61.7301
851986,2017,5.7881,246.49,65.1386,3.1105,200.68,63.5266
851987,2017,6.0701,231.05,62.4553,1.3839,191.57,61.687
851988,2017,6.0358,240.66,65.7949,2.2649,192.63,63.8976
851990,2017,5.4618,237.84,63.7671,2.9154,192.36,63.1793
851991,2017,4.7437,222.57,66.1768,1.627,189.78,63.3703
851992,2017,6.7205,239.99,64.2296,3.0556,208.67,62.3295
851997,2017,6.0239,248.22,64.8936,2.0819,202.87,62.4584
851999,2017,7.5671,229.95,64.5549,2.868,207.31,63.4793
852000,2017,5.2676,223.96,63.4835,2.7964,192.61,62.5871
852003,2017,6.1955,226.96,64.2064,1.0813,188.91,63.2924
852005,2017,5.3319,231.83,65.5047,2.4805,206.21,64.9724
852006,2017,5.3648,233.03,63.7931,1.6501,180.55,61.985
852007,2017,6.0352,240.77,65.5916,1.6005,188.71,60.9444
852009,2017,5.1124,240.74,64.5131,1.5734,189.6,63.0445
852010,2017,5.5306,229.71,64.3665,1.9176,194.83,61.1568
852011,2017,6.9802,243.81,67.1766,3.0396,204.97,64.8
852012,2017,5.3931,232.61,64.3026,2.3175,201.95,62.1057
852013,2017,6.1251,240.28,64.9449,3.2273,209.96,61.5121
852014,2017,6.8699,239.6,68.411,3.286,192.87,66.0055
852015,2017,6.8166,245,66.4935,2.5817,203.74,64.8482
852016,2017,6.2184,237.5,66.4352,3.2037,209.71,63.6101
852017,2017,5.7648,248.87,64.2049,2.2732,222.89,63.7914
852019,2017,6.4162,236.83,65.7231,3.3197,223.26,63.7692
852020,2017,7.6506,246.15,65.8982,3.5384,222.21,65.7957
852021,2017,6.6348,237.62,64.1218,3.2844,209.54,62.4738
852022,2017,5.2652,237.2,62.8664,2.9699,204.31,59.7322
852023,2017,7.079,239.58,65.6591,3.4932,199.89,64.2914
852024,2017,6.9837,252.15,65.3656,3.2206,216.81,66.0647
852025,2017,6.2522,238.88,63.8359,3.3944,212.28,62.7938
852027,2017,6.2357,238.27,68.3238,3.3836,199.84,65.3422
852028,2017,5.4259,226.26,64.1291,3.9771,200.34,61.7442
852029,2017,5.5143,237.75,67.6624,4.1604,210.95,65.9952
852030,2017,5.9865,238.2,67.8167,2.9006,203.77,62.4355
852031,2017,5.7805,235.36,63.4901,3.3444,201.54,60.9738
852032,2017,7.7697,243.63,66.6075,2.8614,229.26,63.1844
852033,2017,6.4841,243.12,65.728,3.7554,223.93,64.2103
852034,2017,7.2569,240.27,65.3577,3.3816,230.35,63.6136
852035,2017,7.1373,247.9,68.2032,2.2702,211.4,64.948
852036,2017,7.0175,247.65,65.0237,3.0059,220.75,64.1494
852037,2017,7.0343,247.02,68.0051,2.8461,198.7,65.7436
852038,2017,5.5929,243.13,64.1304,2.471,204.62,63.5055
852039,2017,7.5481,245.88,67.8505,2.9156,212.52,64.9355
852040,2017,6.5439,244.52,67.3834,2.7893,205.71,64.9716
852041,2017,7.357,234.29,65.6038,2.6785,208.48,62.9983
