Line,YR.glass,yield,height,YR.field,FUS,MIL,FT
WSNP92K.051.04810,3.041,6.648,61,4,4,6,24
WSNP92K.046.04322,3.071,7.453,66,4,5,4,36
WSNP92K.046.04323,2.003,7.059,67,4,4,2,29
WSNP92K.045.04225,2.793,5.864,52,5,5,1,23
WSNP92K.046.04325,2.424,8.693,75,5,4,1,30
WSNP92K.046.04326,2.424,8.4,84,1,3,1,35
WSNP92K.046.04327,2.806,8.533,54,4,3,3,26
WSNP92K.046.04328,2.889,8.881,68,3,3,6,33
WSNP92K.046.04329,2.571,7.672,74,1,6,1,19
WSNP92K.046.04330,3.071,8.033,75,1,5,1,26
WSNP92K.046.04331,2.902,8.776,62,5,5,2,11
WSNP92K.046.04332,3.179,6.161,76,3,5,4,34
WSNP92K.051.04811,1.564,6.893,79,1,4,4,39
WSNP92K.046.04333,2.571,6.828,85,3,3,4,38
WSNP92K.046.04334,2.915,8.656,94,3,2,2,40
WSNP92K.046.04335,2.695,6.782,86,2,4,6,36
WSNP92K.046.04336,2.875,6.809,80,2,5,5,42
WSNP92K.046.04337,2.144,6.654,99,2,4,3,29
WSNP92K.051.04812,1.775,8.884,78,1,4,1,29
WSNP92K.051.04813,-0.016,6.865,69,1,4,2,32
WSNP92K.051.04814,1.502,8.277,68,2,5,1,33
WSNP92K.051.04815,2.79,8.349,82,2,2,1,27
WSNP92K.051.04816,0.518,3.324,81,1,6,1,39
WSNP92K.046.04338,1.995,7.442,74,2,3,3,38
WSNP92K.046.04339,1.776,6.686,61,1,5,1,36
WSNP92K.051.04817,2.429,7.472,72,2,4,1,30
WSNP92K.046.04340,-0.005,5.962,81,1,3,1,33
WSNP92K.046.04341,2.422,8.149,83,2,2,1,37
WSNP92K.046.04342,2.782,8.408,78,3,3,3,28
WSNP92K.051.04818,2.906,6.738,67,3,4,1,31
WSNP92K.046.04343,2.899,3.646,46,2,6,1,35
WSNP92K.051.04819,1.56,7.019,87,2,5,1,35
WSNP92K.051.04820,2.469,6.973,68,3,2,2,39
WSNP92K.046.04345,2.899,7.224,60,3,4,1,33
WSNP92K.051.04821,2.664,6.42,63,2,5,1,34
WSNP92K.051.04822,2.997,7.011,71,2,3,3,29
WSNP92K.051.04823,2.79,7.938,83,3,4,1,35
WSNP92K.046.04346,2.562,7.764,94,2,2,1,37
WSNP92K.046.04347,2.803,6.409,65,2,5,1,38
WSNP92K.046.04348,3.052,7.779,83,3,4,3,32
WSNP92K.046.04349,2.995,5.879,75,5,5,5,33
WSNP92K.051.04824,2.928,7.457,88,4,3,2,26
WSNP92K.046.04350,1.552,9.196,87,1,4,5,28
WSNP92K.046.04351,3.002,7.888,83,4,2,3,34
WSNP92K.046.04352,0.967,7.8,84,1,2,1,34
WSNP92K.051.04825,0.996,7.654,81,1,5,2,34
WSNP92K.046.04353,0.968,5.531,82,1,4,1,33
WSNP92K.046.04354,1.967,8.246,57,2,5,5,31.43553459
WSNP92K.046.04355,1.78,7.445,72,2,4,4,18
WSNP92K.051.04826,2.429,8.586,78,3,4,2,28
WSNP92K.046.04356,2.871,7.233,79,5,3,1,30
WSNP92K.046.04357,2.998,8.307,64,4,6,4,16
WSNP92K.046.04358,2.569,7.172,89,3,4,1,41
WSNP92K.051.04827,3.002,7.411,81,1,3,3,30
WSNP92K.046.04359,2.989,8.943,100,4,3,1,33
WSNP92K.046.04360,2.995,6.337,96,3,3,5,32
WSNP92K.051.04828,2.912,8.542,84,3,3,4,31
WSNP92K.046.04361,2.198,8.58,93,3,5,1,17
WSNP92K.046.04362,2.872,6.419,76,4,5,3,31.43553459
WSNP92K.046.04363,2.429,7.366,61,4,4,4,31.43553459
WSNP92K.046.04364,2.775,6.637,61,4,4,4,31.43553459
WSNP92K.046.04365,2.808,7.733,62,4,3,3,31.43553459
WSNP92K.046.04366,1.808,6.829,72,3,4,2,24
WSNP92K.046.04367,2.775,6.897,53,4,5,2,31.43553459
WSNP92K.051.04829,2.775,6.337,60,4,5,3,31
WSNP92K.046.04368,2.664,7.374,78,2,3,2,31.43553459
WSNP92K.046.04369,2.664,7.566,75,3,2,1,32
WSNP92K.046.04370,3.053,7.064,47,4,6,2,24
WSNP92K.046.04371,2.968,8.502,84,3,2,4,31.43553459
WSNP92K.046.04372,2.469,9.33,76,3,3,3,11
WSNP92K.046.04373,2.872,7.519,70,2,3,2,22
WSNP92K.051.04830,2.983,8.622,80,3,2,2,32
WSNP92K.046.04374,3.087,7.512,96,3,2,1,23
WSNP92K.051.04831,2.437,7.938,78,1,2,4,22
WSNP92K.051.04832,2.708,7.707,72,4,2,4,28
WSNP92K.051.04833,2.511079137,6.342,69,1,4,4,35
WSNP92K.046.04376,1.825,7.279,85,2,4,2,23
WSNP92K.051.04834,1.019,8.708,84,1,3,3,29
WSNP92K.046.04377,2.341,7.868,61,2,4,2,30
WSNP92K.046.04378,3.169,8.393,82,3,3,2,32
WSNP92K.051.04835,3.17,6.219,96,3,5,5,30
WSNP92K.046.04379,2.985,8.096,87,3,3,4,31
WSNP92K.046.04380,0.993,6.374,80,1,3,1,30
WSNP92K.046.04381,1.593,7.358,78,2,3,1,25
WSNP92K.046.04382,2.453,7.326,81,1,2,2,30
WSNP92K.046.04383,1.017,7.568,88,1,4,1,21
WSNP92K.046.04384,1.019,5.714,91,1,3,1,37
WSNP92K.046.04385,2.695,7.476437677,65,2,6,2,34
WSNP92K.051.04836,2.903,5.121,84,3,6,1,37
WSNP92K.046.04386,3.011,6.255,79,3,4,3,38
WSNP92K.046.04387,3.069,7.414,74,2,6,1,31.43553459
WSNP92K.051.04837,3.069,7.386,78,3,3,3,35
WSNP92K.051.04838,2.7,7.791,73,3,5,5,29
WSNP92K.051.04839,3.019,7.476437677,64,4,6,6,36
WSNP92K.046.04388,1.785,8.655,90,1,4,2,28
WSNP92K.046.04389,2.321,7.656,76,2,4,1,31.43553459
WSNP92K.046.04390,2.193,6.724,62,3,5,4,32
WSNP92K.046.04391,2.708,8.449,71,1,6,4,26
WSNP92K.046.04392,2.807,7.921,76,4,6,1,30
WSNP92K.051.04840,2.584,6.821,60,1,4,1,32
WSNP92K.046.04393,2.888,8.193,71,1,4,1,27
WSNP92K.046.04394,2.792,8.875,81,2,4,1,29
WSNP92K.046.04395,2.715,7.348,84,2,3,1,35
WSNP92K.046.04396,2.173,7.85,88,1,3,1,34
WSNP92K.046.04397,1.584,6.245,78,1,3,1,38
WSNP92K.046.04398,2.791,6.342,74,2,2,1,40
WSNP92K.046.04399,3.017,6.877,78,1,3,1,33
WSNP92K.046.04400,2.004,6.542,93,1,5,1,38
WSNP92K.046.04401,2.446,5.698,86,2,3,1,34
WSNP92K.046.04402,2.788,6.234,68,3,4,1,36
WSNP92K.046.04403,2.676,6.759,57,1,5,3,31
WSNP92K.046.04404,0.985,6.844,83,1,4,2,39
WSNP92K.046.04405,2.819,5.825,83,2,5,2,29
WSNP92K.046.04406,2.713,8.294,86,2,4,4,31
WSNP92K.046.04407,2.984,7.281,74,3,3,1,30
WSNP92K.046.04408,2.593,7.232,75,3,3,3,23
WSNP92K.045.04310,2.792,8.293,82,3,2,5,26
WSNP92K.046.04410,2.815,8.517,82,4,4,2,19
WSNP92K.046.04411,2.593,7.476437677,68,2,4,1,25
WSNP92K.046.04412,3.008,8.011,85,4,4,1,18
WSNP92K.046.04413,3.039,8.631,84,2,4,1,23
WSNP92K.046.04414,2.773,7.476437677,100,1,4,1,30
WSNP92K.046.04415,2.446,8.594,89,4,5,1,20
WSNP92K.046.04416,2.888,8.241,79,4,5,1,24
WSNP92K.047.04417,2.973,8.14,83,5,4,4,26
