Line,YR.glass,yield,height,YR.field,FUS,MIL,FT
WSNP92K.051.04885,1.596,7.307,61,2,5,2,16
WSNP92K.048.04603,2.759,6.594,56,3,6,1,34
WSNP92K.051.04886,3.031,7.071,71,3,4,1,33
WSNP92K.048.04604,1.796,6.333,87,2,2,1,33
WSNP92K.051.04887,2.792,6.547,100,1,3,3,37
WSNP92K.048.04605,2.804,7.477,71,2,5,1,38
WSNP92K.048.04606,2.485,7.001,83,2,5,5,35
WSNP92K.048.04607,2.935,7.466,78,3,4,1,37
WSNP92K.048.04608,1.596,6.465,52,1,5,1,21
WSNP92K.049.04609,3.084,7.872,73,2,4,1,30
WSNP92K.051.04888,2.588,9.229,57,2,6,1,21
WSNP92K.049.04610,2.799,9.083,68,2,5,1,18
WSNP92K.049.04611,2.317,8.886,74,1,4,1,33
WSNP92K.049.04612,2.449,7.86,52,4,5,1,20
WSNP92K.049.04613,2.566,7.577,75,2,5,1,27
WSNP92K.051.04889,2.677,7.578,78,2,4,1,27
WSNP92K.049.04614,3.066,7.225,84,3,5,1,32
WSNP92K.051.04890,2.885,6.963,79,1,4,1,35
WSNP92K.049.04615,2.593,6.097,68,3,4,2,43
WSNP92K.049.04616,2.454,8.846,87,1,3,3,30
WSNP92K.049.04617,2.462,6.776,84,2,3,1,31.43553459
WSNP92K.049.04618,2.885,6.579,71,2,3,4,31
WSNP92K.049.04619,2.677,6.531,70,2,4,2,40
WSNP92K.049.04620,2.141,6.956,94,1,3,3,31.43553459
WSNP92K.049.04621,2.482,7.144,86,1,4,3,35
WSNP92K.049.04622,2.798,7.862,81,2,6,4,32
WSNP92K.049.04623,2.157,8.546,82,1,4,2,31.43553459
WSNP92K.051.04891,1.981,7.053,82,2,5,2,33
WSNP92K.049.04624,2.705,6.215,75,2,5,1,32
WSNP92K.049.04625,1.788,7.315,100,1,5,1,31.43553459
WSNP92K.049.04626,2.566,7.345,78,2,6,2,34
WSNP92K.049.04627,2.585,7.363,76,1,4,4,35
WSNP92K.051.04892,1.566,5.917,85,1,6,2,32
WSNP92K.049.04628,2.33,5.981,60,1,5,2,35
WSNP92K.049.04629,2.274,6.14,65,1,5,3,40
WSNP92K.051.04893,1.782,7.486,85,1,5,2,41
WSNP92K.049.04630,2.434,6.712,91,1,3,1,36
WSNP92K.049.04631,2.808,7.988,95,2,4,1,36
WSNP92K.049.04632,2.161,7.487,80,2,3,1,38
WSNP92K.051.04894,2.454,8.565,79,3,4,2,30
WSNP92K.049.04633,2.899,8.388,75,4,4,4,33
WSNP92K.049.04634,2.781,8,78,3,4,4,31.43553459
WSNP92K.049.04635,2.565,8.591,89,2,4,1,39
WSNP92K.049.04636,2.593,5.468,77,3,5,3,41
WSNP92K.049.04637,2.47,5.31,52,1,3,1,41
WSNP92K.049.04638,2.713,8.087,79,3,5,2,22
WSNP92K.049.04639,2.788,7.123,72,4,5,3,37
WSNP92K.049.04640,2.921,7.18,77,4,4,4,40
WSNP92K.049.04641,2.434,8.795,72,3,4,1,31.43553459
WSNP92K.049.04642,2.172,8.349,73,3,4,1,27
WSNP92K.049.04643,3.017,9.06,78,4,3,3,31.43553459
WSNP92K.049.04644,2.98,6.9,85,1,2,2,38
WSNP92K.049.04645,2.677,8,93,1,3,1,36
WSNP92K.051.04895,2.555,7.216,84,2,3,1,33
WSNP92K.049.04646,2.885,7.007,82,2,6,3,30
WSNP92K.051.04896,1.019,7.232,85,1,5,4,35
WSNP92K.049.04647,2.462,7.943,85,1,3,3,37
WSNP92K.049.04648,2.989,6.93,77,2,6,5,28
WSNP92K.049.04649,2.885,8.226,81,1,4,1,31.43553459
WSNP92K.052.04897,2.309,8.221,78,4,4,1,33
WSNP92K.052.04898,1.793,6.815,74,2,6,3,33
WSNP92K.049.04650,2.892,7.522,77,3,3,3,36
WSNP92K.049.04651,2.692,9.231,77,3,3,5,27
WSNP92K.049.04652,2.899,8.738,73,3,5,4,31
WSNP92K.049.04653,2.904,6.955,74,3,3,6,31.43553459
WSNP92K.052.04899,1.951,7.911,78,1,5,3,32
WSNP92K.052.04900,3.024,8.35,73,1,5,4,17
WSNP92K.049.04654,2.892,7.415,68,2,4,4,25
WSNP92K.049.04655,2.917,8.349,75,3,4,6,32
WSNP92K.052.04901,3.102,8.777,89,2,4,4,35
WSNP92K.049.04656,2.789,9.293,80,2,4,3,29
WSNP92K.049.04657,2.912,9.3,88,2,2,1,29
WSNP92K.049.04658,2.652,7.574,77,3,3,3,27
WSNP92K.052.04902,1.467,7.476437677,76,1,4,2,38
WSNP92K.049.04659,2.559,7.858,74,1,5,1,37
WSNP92K.049.04660,1.958,7.851,62,1,5,1,27
WSNP92K.052.04903,2.959,7.782,75,2,3,3,36
WSNP92K.049.04661,3.063,8.391,79,1,3,2,32
WSNP92K.049.04662,2.967,7.188,72,2,4,5,31.43553459
WSNP92K.049.04663,2.58,7.817,77,2,3,6,30
WSNP92K.049.04664,2.89,7.355,44,2,6,2,35
WSNP92K.049.04665,0.958,4.813,69,1,5,1,41
WSNP92K.052.04904,2.12,7.146,72,2,2,1,34
WSNP92K.049.04666,2.87,7.643,77,2,3,1,31
WSNP92K.049.04667,2.655,7.816,78,2,5,1,34
WSNP92K.052.04905,2.511079137,6.922,99,1,3,1,37
WSNP92K.049.04668,2.862,7.843,81,3,4,1,31.43553459
WSNP92K.049.04669,2.413,9.275,88,2,4,1,21
WSNP92K.049.04670,2.563,7.565,73,1,5,3,31.43553459
WSNP92K.049.04671,2.413,6.721,86,2,3,2,31.43553459
WSNP92K.049.04672,2.448,8.378,83,2,3,3,33
WSNP92K.049.04673,1.751,8.213,76,2,3,5,32
WSNP92K.049.04674,2.412,7.888,83,3,4,5,31.43553459
WSNP92K.049.04675,2.87,9.428,72,3,5,5,31.43553459
WSNP92K.049.04676,2.559,7.982,76,1,4,3,34
WSNP92K.049.04677,0.967,8.459,76,1,6,4,35
WSNP92K.049.04678,2.156,8.195,87,1,4,3,34
WSNP92K.049.04679,2.863,7.711,84,3,3,3,37
WSNP92K.049.04680,2.959,7.652,93,2,4,4,36
WSNP92K.049.04681,3.04,6.129,61,3,7,1,38
WSNP92K.049.04682,2.413,6.489,73,3,6,3,35
WSNP92K.049.04683,3.092,8.816,75,2,4,2,31.43553459
WSNP92K.049.04684,3.044,7.383,82,2,4,1,37
WSNP92K.049.04685,2.955,8.362,80,3,4,1,33
WSNP92K.049.04686,2.703,7.626,80,2,5,5,31.43553459
WSNP92K.049.04687,2.67,7.196,92,1,6,1,31.43553459
WSNP92K.052.04906,1.779,6.771,81,1,4,1,35
WSNP92K.049.04688,1.747,7.749,73,2,4,1,40
WSNP92K.049.04689,2.794,8.191,83,3,3,1,31.43553459
WSNP92K.049.04690,2.906,7.54,78,2,4,1,38
WSNP92K.049.04691,2.563,8.657,73,2,5,5,31.43553459
WSNP92K.049.04692,2.674,6.777,69,2,6,1,36
WSNP92K.049.04693,2.674,8.642,67,3,4,2,22
WSNP92K.052.04907,3.094,8.785,94,3,4,2,35
WSNP92K.049.04694,2.703,7.844,90,4,3,5,31.43553459
WSNP92K.049.04695,2.652,3.909,60,2,6,1,43
WSNP92K.052.04908,2.974,9.534,77,3,5,1,34
WSNP92K.049.04696,1.932,8.364,87,3,4,2,40
WSNP92K.049.04697,2.412,8.5,73,3,5,5,36
WSNP92K.052.04909,3.044,8.591,87,4,3,1,31
WSNP92K.052.04910,1.977,7.735,67,3,3,1,38
WSNP92K.049.04698,3.059,7.35,75,5,4,6,31.43553459
WSNP92K.049.04699,2.882,6.147,57,2,4,1,35
WSNP92K.049.04700,2.863,8.667,73,4,5,4,31.43553459
WSNP92K.049.04701,2.967,7.316,75,3,6,5,31.43553459
WSNP92K.049.04702,2.752,7.346,67,2,4,2,31.43553459
WSNP92K.052.04911,2.771,7.717,81,3,5,1,34
WSNP92K.049.04703,3.063,8.243,68,4,6,2,31.43553459
WSNP92K.052.04912,2.957,7.442,74,2,4,1,28
WSNP92K.049.04704,2.955,7.303,73,3,5,2,31
WSNP92K.052.04913,2.511079137,6.241,70,3,5,2,34
WSNP92K.052.04914,2.439,7.06,86,2,3,3,28
WSNP92K.050.04705,2.802,5.035,85,2,2,4,43
WSNP92K.052.04915,2.511079137,6.868,61,2,6,6,33
WSNP92K.050.04706,2.888,7.19,69,4,6,5,30
WSNP92K.050.04707,2.57,7.748,68,3,4,5,34
WSNP92K.050.04708,2.57,6.229,73,3,6,4,39
WSNP92K.052.04916,2.178,7.388,74,3,4,2,36
WSNP92K.050.04709,2.146,7.542,69,2,5,2,17
WSNP92K.052.04917,1.938,7.031,73,1,4,1,32
WSNP92K.050.04710,2.57,8.569,57,3,6,2,20
WSNP92K.050.04711,2.903,7.674,78,1,3,4,35
WSNP92K.050.04712,2.889,6.06,81,3,4,3,27
WSNP92K.050.04713,1.938,7.274,69,2,4,1,36
WSNP92K.052.04918,2.681,8.067,70,2,5,1,36
WSNP92K.050.04714,2.903,5.737,53,2,5,5,39
WSNP92K.052.04919,2.146,7.418,83,3,6,4,37
WSNP92K.050.04715,1.825,8.391,80,2,5,5,31
WSNP92K.052.04920,1.797,7.855,88,2,4,1,40
WSNP92K.050.04716,2.146,8.221,73,2,5,1,28
WSNP92K.052.04921,2.142,6.493,68,2,5,1,38
WSNP92K.050.04717,2.438,5.694,85,1,4,1,27
WSNP92K.050.04718,2.004,7.758,68,2,5,2,33
WSNP92K.052.04922,2.888,5.653,81,2,6,1,29
WSNP92K.052.04923,2.916,9.096,73,4,6,1,30
WSNP92K.050.04719,2.004,8.506,70,2,5,1,31.43553459
WSNP92K.050.04720,2.681,8.243,71,1,4,4,31.43553459
WSNP92K.050.04721,0.984,8.435,70,2,3,3,32
WSNP92K.050.04722,2.889,7.581,88,3,4,4,31.43553459
WSNP92K.052.04924,2.438,7.048,75,2,5,2,36
WSNP92K.050.04723,2.557,8.132,79,3,5,2,31
WSNP92K.050.04724,2.905,8.37,85,2,4,2,37
WSNP92K.050.04725,1.597,7.22,71,2,4,1,33
WSNP92K.052.04925,3.07,9.387,84,4,5,2,27
WSNP92K.050.04726,2.936,7.932,78,3,7,3,31
WSNP92K.050.04727,2.816,7.561,82,1,5,1,26
WSNP92K.050.04728,3.017,7.048,77,2,6,3,35
WSNP92K.050.04729,3.069,7.675,77,2,7,4,37
WSNP92K.050.04730,2.146,7.147,77,2,3,1,39
WSNP92K.050.04731,2.511079137,5.355,72,2,5,8,40
WSNP92K.050.04732,2.792,7.467,75,1,4,6,23
WSNP92K.050.04733,2.792,7.631,71,2,5,5,31.43553459
WSNP92K.052.04926,2.8,7.914,77,3,4,4,33
WSNP92K.050.04734,2.792,7.646,70,2,4,4,35
WSNP92K.050.04735,2.569,6.7,72,3,6,2,34
WSNP92K.050.04736,2.8,7.298,71,3,5,3,30
WSNP92K.050.04737,1.578,5.732,67,1,6,1,35
WSNP92K.050.04738,2.306,6.779,74,3,5,2,28
WSNP92K.052.04927,1.927,8.029,78,2,5,3,38
WSNP92K.050.04739,2.161,6.985,87,2,4,4,40
WSNP92K.052.04928,3.07,7.006,78,4,5,3,40
WSNP92K.052.04929,2.933,8.256,67,4,4,4,24
WSNP92K.050.04740,2.766,6.164,91,2,4,4,39
WSNP92K.050.04741,2.078,8.356,64,1,5,1,18
WSNP92K.050.04742,2.785,6.651,90,2,5,2,38
WSNP92K.050.04743,2.511079137,8.447,78,4,3,2,18
WSNP92K.050.04744,2.617,6.576,83,3,3,2,24
WSNP92K.050.04745,2.667,8.599,76,2,3,1,18
WSNP92K.052.04930,3.106,7.918,87,2,2,4,23
WSNP92K.052.04931,2.036,9.173,76,1,3,4,26
WSNP92K.052.04932,2.94,7.261,72,1,4,4,40
WSNP92K.050.04746,2.745,6.501,74,4,4,1,31.43553459
WSNP92K.050.04747,2.433,7.21,66,4,7,6,31.43553459
WSNP92K.050.04748,1.822,9.06,77,2,4,4,31.43553459
WSNP92K.050.04749,1.634,8.874,78,2,4,4,31.43553459
WSNP92K.052.04933,2.855,7.709,78,3,6,4,29
WSNP92K.050.04750,1.626,8.689,76,1,4,5,19
WSNP92K.050.04751,2.01,6.001,92,1,4,4,35
WSNP92K.050.04752,2.523,8.574,67,1,6,3,31.43553459
WSNP92K.050.04753,2.313,8.574,50,1,6,1,31.43553459
WSNP92K.050.04754,0.011,7.043,83,1,5,1,35
WSNP92K.050.04755,2.414,7.476437677,49,2,5,4,41
WSNP92K.050.04756,2.815,6.139,89,2,2,1,34
WSNP92K.050.04757,3.126,8.39,78,3,4,4,31.43553459
WSNP92K.052.04934,2.197,6.805,73,2,5,4,23
WSNP92K.052.04935,2.464,7.754,80,1,3,3,24
WSNP92K.050.04758,2.197,9.011,72,3,4,3,26
WSNP92K.050.04759,3.206,7.969,76,3,4,3,33
WSNP92K.050.04760,2.606,8.44,82,2,4,4,24
WSNP92K.050.04761,2.002,7.679,81,2,5,4,32
WSNP92K.052.04936,2.22,7.798,76,3,5,3,27
WSNP92K.052.04937,1.991,9.232,85,3,3,2,31
WSNP92K.050.04762,2.654,9.447,77,3,3,2,32
WSNP92K.052.04938,2.706,9.063,62,3,5,1,11
WSNP92K.050.04763,2.837,7.446,73,3,4,4,32
WSNP92K.050.04764,2.966,7.786,72,3,3,2,17
WSNP92K.052.04939,2.822,7.881,71,2,5,1,31
WSNP92K.052.04940,2.94,8.496,82,1,3,1,29
WSNP92K.050.04765,2.706,7.732,73,2,4,1,36
WSNP92K.050.04766,2.925,6.348,58,2,5,1,36
WSNP92K.050.04767,2.85,7.526,72,3,3,1,29
WSNP92K.050.04768,2.029,6.745,90,2,3,1,29
WSNP92K.052.04941,2.511079137,6.847,78,2,4,1,30
WSNP92K.050.04769,2.733,7.922,73,3,4,1,31
WSNP92K.050.04770,3.095,7.231,93,2,3,3,34
WSNP92K.050.04771,3.167,7.797,90,2,4,2,31.43553459
WSNP92K.050.04772,2.404,8.385,77,3,4,1,29
WSNP92K.050.04773,2.178,6.719,74,3,5,2,32
WSNP92K.052.04942,1.814,5.962,59,2,6,1,32
WSNP92K.052.04943,1.829,7.052,82,2,4,1,36
WSNP92K.050.04774,2.475,7.282,84,2,4,1,31
WSNP92K.052.04944,1.829,7.702,79,2,3,1,30
WSNP92K.050.04775,2.494,7.797,72,3,5,1,31.43553459
WSNP92K.050.04776,3.029,7.177,73,4,5,2,32
WSNP92K.050.04777,2.94,8.416,70,2,2,1,23
WSNP92K.050.04778,1.069,6.716,79,2,6,1,28
WSNP92K.052.04945,2.9,7.827,69,2,4,1,33
WSNP92K.050.04779,2.303,8.026,67,2,4,2,34
WSNP92K.050.04780,2.725,7.424,62,3,4,4,30
WSNP92K.050.04781,2.829,8.145,67,4,5,3,25
WSNP92K.050.04782,2.755,8.159,78,3,4,6,21
WSNP92K.052.04946,2.511079137,8.637,74,3,5,4,30
WSNP92K.050.04783,2.717,7.932,75,3,4,1,31.43553459
WSNP92K.050.04784,2.464,8.401,65,5,4,3,19
WSNP92K.050.04785,3.049,6.712,70,4,4,3,31.43553459
WSNP92K.050.04786,1.822,8.45,72,3,5,5,26
WSNP92K.050.04787,0.979,5.923,79,1,5,4,37
WSNP92K.052.04947,2.159,6.479,87,2,4,1,32
WSNP92K.052.04948,3.075,7.251,87,3,5,2,30
WSNP92K.050.04788,2.012,7.932,70,1,3,3,30
WSNP92K.050.04789,2.706,7.022,78,3,5,3,38
WSNP92K.050.04790,1.623,7.181,68,4,5,5,28
WSNP92K.050.04791,3.063,9.099,85,2,2,1,36
WSNP92K.050.04792,2.451,8.134,69,2,4,1,34
WSNP92K.052.04949,2.571,9.446,92,2,3,2,31
WSNP92K.050.04793,2.283,8.185,84,2,3,3,30
WSNP92K.052.04950,1.991,8.086,78,1,3,1,28
WSNP92K.050.04794,2.271,6.878,84,3,5,1,37
WSNP92K.052.04951,2.798,7.462,74,3,6,2,35
WSNP92K.052.04952,2.941,5.522,86,3,3,1,22
WSNP92K.050.04795,2.575,8.427,77,3,5,1,31.43553459
WSNP92K.050.04796,2.941,7.959,78,3,4,1,31.43553459
WSNP92K.050.04797,2.686,5.39,72,2,4,1,33
WSNP92K.050.04798,2.148,9.278,57,2,3,3,15
WSNP92K.050.04799,1.59,7.949,71,2,4,2,26
WSNP92K.050.04800,1,5.202,70,1,3,1,29
